Label,value
Total Branch Coverage,434
Trace with Highest Branch Coverage,[L-N-C-M-E-M-O-J-D-C-J-H-F-L-C-G-L-K-J-M-R]
HBC,222
Trace with Lowest Branch Distance,[N-C-F-F-I-F-J-O-D-G-F-D-E-I-F-K-D-N-B-L-R]
LBC,1099.9733
Error size,14
error_76,[E-F-A-H-N-B-C-J-D-H-N-I-I-O-H-O-L-D-L-G-R, G-H-H-N-C-M-G-B-J-D-N-I-D-D-J-L-J-H-M-D-R, H-D-G-B-A-G-N-N-M-I-C-C-E-C-J-D-N-L-K-D-R, N-N-I-J-G-O-N-C-H-J-D-N-K-C-H-L-D-N-I-L-R, D-G-I-B-N-B-O-G-H-C-C-J-A-D-G-H-N-L-D-E-R]
