Time,AmountOfErrors
627,1,error_0
7558,2,error_0-error_61
21133,3,error_0-error_30-error_61
32933,4,error_0-error_30-error_61-error_17
41743,5,error_0-error_30-error_61-error_71-error_17
48130,6,error_0-error_30-error_31-error_61-error_71-error_17
49758,7,error_0-error_30-error_31-error_61-error_71-error_17-error_56
54240,8,error_0-error_22-error_30-error_31-error_61-error_71-error_17-error_56
80972,9,error_0-error_22-error_30-error_31-error_61-error_71-error_17-error_56-error_67
190612,10,error_0-error_22-error_30-error_31-error_61-error_71-error_16-error_17-error_56-error_67
